"Timestamp","TotalUpdates","Reward","States3D","StatesPlanar"
"20260219_024258","76583","-1698,4255951995344","0","503"
"20260219_024319","77199","-1707,94909519953","0","504"
"20260219_024332","77704","-1723,6405951995255","0","505"
"20260219_024349","78171","-1724,5385951995227","0","505"
"20260219_024407","78766","-1736,4230951995194","0","506"
"20260219_024426","79270","-1752,777595199516","0","506"
"20260219_024444","79827","-1760,4355951995124","0","506"
"20260219_024455","80119","-1773,0055951995112","0","506"
"20260219_024516","80789","-1777,2260951995047","0","506"
"20260219_024533","81328","-1794,9515951995008","0","507"
"20260219_024553","81935","-1806,6810951994962","0","507"
"20260219_024609","82447","-1815,138095199493","0","512"
"20260219_024626","83094","-1821,8285951994885","0","512"
"20260219_024646","83659","-1833,812595199485","0","512"
"20260219_024703","84172","-1847,266095199482","0","513"
"20260219_024720","84638","-1860,3360951994791","0","514"
"20260219_024734","85183","-1873,0440951994751","0","514"
"20260219_024754","85782","-1873,241095199471","0","514"
"20260219_024807","86260","-1874,6870951994672","0","514"
"20260219_024828","86895","-1889,7570951994621","0","520"
"20260219_024848","87556","-1904,1790951994578","0","521"
"20260219_024901","87982","-1915,1930951994552","0","521"
"20260219_024919","88443","-1931,0625951994516","0","523"
"20260219_024935","88972","-1943,078095199448","0","523"
"20260219_024956","89621","-1963,1625951994433","0","523"
"20260219_025018","90362","-1973,7535951994378","0","523"
"20260219_025032","90736","-1981,3945951994351","0","524"
"20260219_025052","91304","-1999,0395951994312","0","525"
"20260219_025107","91783","-2011,3315951994282","0","526"
"20260219_025124","92280","-2020,8955951994244","0","528"
"20260219_025142","92856","-2030,5510951994197","0","529"
"20260219_025204","93467","-2042,064595199415","0","530"
"20260219_025219","93911","-2059,547595199412","0","530"
"20260219_025240","94587","-2067,8720951994055","0","531"
"20260219_025257","95130","-2078,318095199402","0","534"
"20260219_025312","95620","-2088,471095199398","0","534"
"20260219_025324","96035","-2107,6095951993966","0","535"
"20260219_025343","96622","-2110,0575951993924","0","537"
"20260219_025357","97113","-2122,4530951993893","0","537"
"20260219_025419","97810","-2131,5180951993857","0","537"
"20260219_025434","98309","-2141,0340951993826","0","537"
"20260219_025450","98819","-2156,1400951993783","0","538"
"20260219_025506","99317","-2171,2925951993752","0","538"
"20260219_025517","99639","-2184,444095199372","0","538"
"20260219_025527","99969","-2203,9590951993687","0","539"
"20260219_025541","100387","-2219,4775951993647","0","539"
"20260219_025555","100855","-2223,176595199361","0","539"
"20260219_025619","101592","-2234,9185951993577","0","539"
"20260219_025632","101972","-2245,363095199356","0","542"
"20260219_025646","102449","-2260,0210951993527","0","542"
"20260219_025705","103104","-2264,9645951993475","0","542"
"20260219_025716","103384","-2275,508595199345","0","543"
"20260219_025730","103798","-2296,0325951993423","0","544"
"20260219_025757","104528","-2308,4415951993356","0","547"
"20260219_025808","104926","-2316,741595199332","0","547"
"20260219_025826","105469","-2323,7480951993284","0","548"
"20260219_025845","106005","-2332,111095199325","0","548"
"20260219_025859","106444","-2343,9405951993217","0","548"
"20260219_025914","106964","-2351,7190951993157","0","548"
"20260219_025935","107524","-2361,4915951993103","0","549"
"20260219_025953","108121","-2373,4070951993044","0","549"
"20260219_030014","108770","-2383,4910951992993","0","549"
"20260219_030029","109222","-2389,4185951992945","0","550"
"20260219_030042","109600","-2398,5160951992907","0","553"
"20260219_030058","110179","-2416,111095199286","0","553"
"20260219_030119","110812","-2423,392095199282","0","557"
"20260219_030137","111362","-2439,484095199278","0","557"
"20260219_030156","111890","-2449,391595199275","0","557"
"20260219_030213","112432","-2454,91809519927","0","557"
"20260219_030243","113364","-2456,3475951992627","0","557"
"20260219_030257","113840","-2460,003095199259","0","557"
"20260219_030318","114515","-2464,9470951992525","0","557"
"20260219_030334","115037","-2476,5325951992495","0","557"
"20260219_030400","115878","-2490,015595199243","0","557"
"20260219_030425","116672","-2508,769095199235","0","557"
"20260219_030444","117270","-2523,48109519923","0","557"
"20260219_030500","117770","-2536,423595199228","0","558"
"20260219_030522","118431","-2539,1440951992236","0","561"
"20260219_030538","118943","-2540,439595199219","0","562"
"20260219_030555","119425","-2554,040595199216","0","563"
"20260219_030613","120050","-2559,1530951992127","0","564"
"20260219_030633","120725","-2571,312095199207","0","564"
"20260219_030648","121190","-2582,181595199205","0","564"
"20260219_030702","121588","-2594,3465951992025","0","564"
"20260219_030716","122014","-2610,292095199199","0","565"
"20260219_030727","122293","-2625,8065951991985","0","565"
"20260219_030748","122982","-2636,4095951991944","0","565"
"20260219_030805","123466","-2649,355595199192","0","566"
"20260219_030820","123978","-2663,8090951991894","0","566"
"20260219_030837","124472","-2676,1390951991866","0","567"
"20260219_030849","124873","-2683,884095199184","0","568"
"20260219_030908","125466","-2695,77459519918","0","569"
"20260219_030931","126128","-2709,5205951991743","0","569"
"20260219_030947","126536","-2722,178595199171","0","570"
"20260219_030959","126957","-2736,782095199168","0","570"
"20260219_031015","127484","-2746,7635951991647","0","570"
"20260219_031030","127926","-2756,4300951991604","0","570"
"20260219_031040","128243","-2771,808095199158","0","571"
"20260219_031056","128752","-2787,479095199154","0","573"
"20260219_031109","129132","-2800,297095199151","0","574"
"20260219_031122","129557","-2805,7495951991477","0","574"
"20260219_031133","129857","-2818,399095199145","0","575"
"20260219_031149","130404","-2833,9395951991414","0","576"
"20260219_031205","130884","-2839,7760951991404","0","577"
"20260219_031220","131395","-2853,281595199135","0","579"
"20260219_031238","131937","-2873,8380951991307","0","580"
"20260219_031254","132449","-2887,2625951991267","0","580"
"20260219_031313","133083","-2896,737595199121","0","580"
"20260219_031327","133549","-2904,239095199118","0","580"
"20260219_031343","134035","-2919,4165951991135","0","580"
"20260219_031354","134423","-2927,8190951991105","0","580"
"20260219_031409","134852","-2941,828595199107","0","580"
"20260219_031425","135374","-2942,435595199103","0","581"
"20260219_031443","135931","-2947,8230951990995","0","581"
"20260219_031502","136538","-2952,8985951990962","0","581"
"20260219_031520","137092","-2963,354595199093","0","581"
"20260219_031534","137587","-2974,1295951990887","0","581"
"20260219_031551","138090","-2987,062095199086","0","581"
"20260219_031605","138572","-2993,4980951990824","0","581"
"20260219_031623","139129","-2994,596095199078","0","581"
"20260219_031642","139811","-3003,2090951990726","0","582"
"20260219_031658","140263","-3015,7690951990685","0","582"
"20260219_031712","140737","-3030,8895951990658","0","583"
"20260219_031731","141352","-3041,116595199064","0","583"
"20260219_031749","141957","-3056,328095199059","0","585"
"20260219_031807","142543","-3069,492595199056","0","586"
"20260219_031819","142930","-3073,495095199054","0","586"
"20260219_031835","143407","-3090,8555951990515","0","588"
"20260219_031850","143936","-3100,829595199048","0","590"
"20260219_031901","144267","-3111,7065951990458","0","590"
"20260219_031914","144771","-3119,6340951990423","0","590"
"20260219_031933","145346","-3125,050595199037","0","590"
"20260219_031946","145781","-3131,0925951990343","0","591"
"20260219_032016","146691","-3137,022595199028","0","591"
"20260219_032034","147271","-3148,0030951990248","0","592"
"20260219_032052","147866","-3155,4190951990213","0","594"
"20260219_032111","148521","-3167,377095199016","0","594"
"20260219_032138","149298","-3180,1300951990115","0","595"
"20260219_032155","149864","-3188,9440951990073","0","595"
"20260219_032211","150341","-3194,1995951990043","0","596"
"20260219_032229","150925","-3195,735595199","0","598"
"20260219_032250","151603","-3202,141595198993","0","598"
"20260219_032308","152256","-3213,724095198987","0","598"
"20260219_032322","152622","-3226,4550951989836","0","599"
"20260219_032341","153276","-3229,1370951989784","0","599"
"20260219_032402","153912","-3239,1195951989735","0","599"
"20260219_032415","154358","-3246,634095198968","0","599"
"20260219_032429","154790","-3251,088595198965","0","602"
"20260219_032449","155397","-3274,0505951989608","0","603"
"20260219_032507","155985","-3281,4945951989566","0","603"
"20260219_032527","156627","-3286,495095198953","0","603"
"20260219_032541","157047","-3292,003595198949","0","604"
"20260219_032602","157712","-3311,1815951989433","0","604"
"20260219_032617","158145","-3326,5930951989412","0","604"
"20260219_032632","158671","-3338,7870951989366","0","604"
"20260219_032650","159206","-3348,6300951989324","0","604"
"20260219_032702","159639","-3360,6035951989284","0","604"
"20260219_032719","160093","-3373,0920951989237","0","604"
"20260219_032731","160485","-3388,71959519892","0","605"
"20260219_032750","161057","-3409,6110951989162","0","605"
"20260219_032803","161425","-3423,036095198913","0","605"
"20260219_032826","162104","-3434,39359519891","0","605"
"20260219_032848","162769","-3448,573595198905","0","605"
"20260219_032903","163132","-3467,8010951989027","0","605"
"20260219_032923","163718","-3478,164095198897","0","607"
"20260219_032937","164110","-3484,997595198894","0","608"
"20260219_032953","164607","-3492,92759519889","0","608"
"20260219_033010","165067","-3494,455095198886","0","609"
"20260219_033028","165614","-3510,5225951988814","0","612"
"20260219_033047","166206","-3520,856095198878","0","612"
"20260219_033101","166673","-3535,519595198875","0","612"
"20260219_033119","167176","-3545,655095198871","0","612"
"20260219_033132","167578","-3551,6980951988685","0","612"
"20260219_033151","168098","-3557,763095198866","0","615"
"20260219_033211","168709","-3567,9675951988625","0","615"
"20260219_033232","169236","-3573,504095198859","0","615"
"20260219_033257","169853","-3572,613095198854","0","615"
"20260219_033321","170386","-3581,58609519885","0","616"
"20260219_033342","170938","-3587,0665951988453","0","617"
"20260219_033359","171392","-3592,9135951988424","0","617"
"20260219_033418","171922","-3601,2850951988394","0","618"
"20260219_033440","172517","-3611,504095198835","0","618"
"20260219_033453","172963","-3615,8955951988314","0","620"
"20260219_033512","173522","-3624,0705951988266","0","620"
"20260219_033531","174114","-3634,296095198821","0","622"
"20260219_033550","174696","-3644,0055951988147","0","622"
"20260219_033603","175117","-3655,1115951988118","0","622"
"20260219_033620","175651","-3668,508595198808","0","622"
"20260219_033634","176121","-3671,5355951988045","0","622"
"20260219_033652","176691","-3680,7220951988015","0","623"
"20260219_033714","177412","-3694,7630951987967","0","624"
"20260219_033732","177955","-3711,793595198793","0","624"
"20260219_033743","178315","-3720,2915951987893","0","624"
"20260219_033758","178711","-3726,468595198785","0","624"
"20260219_033812","179135","-3736,361095198781","0","625"
"20260219_033827","179580","-3746,7580951987784","0","628"
"20260219_033841","180072","-3761,308095198774","0","628"
"20260219_033856","180506","-3773,9145951987703","0","628"
"20260219_033908","180910","-3786,095595198767","0","630"
"20260219_033926","181480","-3800,861095198762","0","630"
"20260219_033943","182088","-3813,206595198756","0","630"
"20260219_034001","182643","-3833,6440951987533","0","630"
"20260219_034020","183298","-3848,106595198749","0","630"
"20260219_034033","183727","-3855,768595198747","0","630"
"20260219_034048","184252","-3872,0115951987427","0","631"
"20260219_034058","184524","-3885,3460951987404","0","631"
"20260219_034114","184963","-3897,895595198738","0","631"
"20260219_034130","185385","-3913,923595198735","0","633"
"20260219_034151","186111","-3920,7935951987297","0","633"
"20260219_034215","186909","-3932,052595198723","0","633"
"20260219_034231","187368","-3951,5370951987193","0","633"
"20260219_034247","187734","-3964,4485951987167","0","633"
"20260219_034257","188067","-3974,7290951987134","0","633"
"20260219_034318","188733","-3986,893595198708","0","634"
"20260219_034337","189332","-4003,644595198703","0","634"
"20260219_034353","189779","-4016,1745951986986","0","634"
"20260219_034408","190241","-4031,454595198695","0","635"
"20260219_034421","190585","-4037,8760951986937","0","637"
"20260219_034433","190988","-4054,0655951986914","0","637"
"20260219_034449","191415","-4066,0625951986876","0","637"
"20260219_034501","191804","-4074,477095198684","0","637"
"20260219_034520","192261","-4085,9105951986794","0","642"
"20260219_034535","192743","-4103,272595198675","0","642"
"20260219_034544","192954","-4119,082595198675","0","642"
"20260219_034603","193546","-4135,978595198672","0","642"
"20260219_034618","193961","-4146,398595198669","0","642"
"20260219_034630","194370","-4156,956595198665","0","642"
"20260219_034645","194767","-4165,97109519866","0","642"
"20260219_034703","195322","-4181,474095198654","0","643"
"20260219_034714","195647","-4192,412095198648","0","643"
"20260219_034732","196253","-4197,5430951986455","0","643"
"20260219_034747","196672","-4203,588095198643","0","644"
"20260219_034802","197255","-4209,515095198639","0","644"
"20260219_034823","197891","-4223,3615951986285","0","644"
"20260219_034834","198247","-4234,120595198627","0","644"
"20260219_034900","198975","-4253,597095198623","0","644"
"20260219_034911","199290","-4270,0585951986195","0","644"
"20260219_034924","199677","-4280,678595198618","0","644"
"20260219_034937","200152","-4290,868595198617","0","644"
"20260219_034957","200777","-4294,453095198613","0","644"
"20260219_035016","201438","-4303,844095198606","0","645"
"20260219_035034","201953","-4325,852095198601","0","645"
"20260219_035051","202522","-4331,824595198596","0","645"
"20260219_035113","203255","-4336,418595198594","0","649"
"20260219_035127","203763","-4341,53259519859","0","649"
"20260219_035146","204338","-4349,672095198585","0","649"
"20260219_035203","204911","-4362,253595198581","0","649"
"20260219_035228","205605","-4378,588095198577","0","649"
"20260219_035240","205967","-4389,889095198576","0","649"
"20260219_035258","206501","-4410,41709519857","0","649"
"20260219_035314","207052","-4419,690595198564","0","649"
"20260219_035330","207500","-4427,206095198555","0","649"
"20260219_035344","207949","-4441,9880951985515","0","649"
"20260219_035352","208189","-4457,710595198553","0","649"
"20260219_035403","208538","-4470,73459519855","0","649"
"20260219_035423","209146","-4487,600595198546","0","649"
"20260219_035438","209687","-4502,4930951985425","0","649"
"20260219_035450","210032","-4520,540595198539","0","649"
"20260219_035515","210787","-4535,698595198536","0","649"
"20260219_035527","211159","-4543,590595198533","0","649"
"20260219_035542","211654","-4556,533095198529","0","650"
"20260219_035557","212078","-4572,023095198524","0","650"
"20260219_035609","212469","-4582,6580951985225","0","650"
"20260219_035622","212827","-4591,251595198517","0","650"
"20260219_035637","213310","-4601,330095198516","0","651"
"20260219_035700","213976","-4614,022595198512","0","651"
"20260219_035718","214507","-4623,996595198508","0","653"
"20260219_035733","214898","-4640,727095198504","0","653"
"20260219_035747","215339","-4644,4990951985","0","653"
"20260219_035803","215801","-4651,914595198499","0","653"
"20260219_035823","216517","-4661,6900951984935","0","653"
"20260219_035837","216909","-4674,326095198492","0","653"
"20260219_035846","217192","-4685,454595198486","0","653"
"20260219_035903","217742","-4691,509095198481","0","654"
"20260219_035917","218200","-4702,447595198476","0","655"
"20260219_035934","218706","-4710,37459519847","0","657"
"20260219_035942","219007","-4714,185595198471","0","657"
"20260219_035957","219513","-4719,296595198464","0","659"
"20260219_040017","220148","-4734,38109519846","0","660"
"20260219_040033","220641","-4745,078595198457","0","661"
"20260219_040046","221081","-4752,707095198453","0","661"
"20260219_040106","221657","-4760,918095198451","0","661"
"20260219_040121","222176","-4764,341095198446","0","664"
"20260219_040138","222753","-4773,540595198444","0","664"
"20260219_040148","223123","-4781,480595198442","0","665"
"20260219_040202","223537","-4794,2120951984425","0","665"
"20260219_040211","223883","-4806,661095198436","0","665"
"20260219_040233","224556","-4811,562095198429","0","666"
"20260219_040244","224962","-4814,930095198427","0","666"
"20260219_040257","225321","-4821,322595198423","0","666"
"20260219_040310","225816","-4832,89059519842","0","667"
"20260219_040328","226384","-4835,501095198416","0","667"
"20260219_040343","226931","-4844,834095198411","0","668"
"20260219_040401","227368","-4857,162595198409","0","670"
"20260219_040418","227957","-4866,117595198403","0","671"
"20260219_040442","228644","-4874,5550951984","0","671"
"20260219_040451","228994","-4871,583595198398","0","672"
"20260219_040508","229496","-4881,643595198393","0","674"
"20260219_040527","230122","-4893,886095198388","0","675"
"20260219_040542","230551","-4908,520595198382","0","675"
"20260219_040558","231125","-4918,940095198377","0","675"
"20260219_040615","231629","-4931,2365951983775","0","675"
"20260219_040623","231914","-4939,513595198373","0","675"
"20260219_040644","232502","-4952,521095198367","0","676"
"20260219_040657","232934","-4962,980595198363","0","676"
"20260219_040717","233539","-4976,97909519836","0","676"
"20260219_040729","233971","-4993,766595198356","0","676"
"20260219_040749","234526","-5007,830095198351","0","676"
"20260219_040806","235123","-5014,69009519835","0","678"
"20260219_040823","235636","-5024,7630951983465","0","678"
"20260219_040835","236051","-5034,462595198347","0","678"
"20260219_040847","236348","-5044,813095198344","0","678"
"20260219_040906","237003","-5057,581595198339","0","678"
"20260219_040932","237714","-5072,848595198333","0","678"
"20260219_040950","238332","-5082,469595198331","0","678"
"20260219_041004","238794","-5089,980095198326","0","679"
"20260219_041018","239250","-5105,864095198324","0","679"
"20260219_041034","239675","-5114,714595198322","0","679"
"20260219_041052","240307","-5115,262095198319","0","679"
"20260219_041107","240760","-5118,349095198316","0","679"
"20260219_041124","241300","-5122,243095198314","0","679"
"20260219_041141","241776","-5120,78659519831","0","680"
"20260219_041156","242238","-5133,910095198308","0","680"
"20260219_041215","242816","-5142,1050951983025","0","680"
"20260219_041232","243400","-5149,682095198295","0","681"
"20260219_041256","244148","-5159,805095198295","0","682"
"20260219_041311","244642","-5174,348095198294","0","682"
"20260219_041330","245154","-5187,086595198285","0","682"
"20260219_041343","245608","-5195,712095198281","0","682"
"20260219_041402","246047","-5212,182095198275","0","682"
"20260219_041418","246632","-5212,4790951982695","0","682"
"20260219_041436","247144","-5222,474095198267","0","682"
"20260219_041448","247524","-5236,755095198263","0","682"
"20260219_041505","247978","-5245,478595198259","0","682"
"20260219_041521","248483","-5253,256095198259","0","682"
"20260219_041534","248829","-5261,902595198254","0","682"
"20260219_041557","249668","-5273,174595198247","0","683"
"20260219_041613","250165","-5281,140595198241","0","683"
"20260219_041630","250708","-5289,463095198238","0","683"
"20260219_041646","251158","-5297,5585951982375","0","683"
"20260219_041706","251829","-5307,496595198233","0","683"
"20260219_041722","252246","-5322,141595198228","0","683"
"20260219_041735","252683","-5332,552595198223","0","683"
"20260219_041750","253108","-5340,770095198217","0","683"
